"Sciezka Folderu";"Nazwa Pliku";"Rozszerzenie";"Czas Trwania";"Data Utworzenia"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"001 - .Goëtia.";".mp3";"00:05:30";"2026-05-08 10:50:56"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"002 - Le temps de l'amour (Stereo Mix)";".mp3";"00:02:24";"2026-05-08 10:51:01"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"003 - 【Karaoke Stream ⧸ 歌枠】Singing using the Hololive Karaoke App!";".mp3";"02:48:46";"2026-05-08 10:51:26"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"004 - Kyoufuu All Back (強風オールバック) ⧸ Gawr Gura Cover";".mp3";"00:02:17";"2026-05-08 10:53:28"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"005 - Bad Apple!! but it's a Minecraft World";".mp3";"00:03:52";"2026-05-08 10:53:31"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"007 - 「Nightcore」- Droga sześć i sześć";".mp3";"00:02:53";"2026-05-08 10:53:36"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"008 - YOASOBI 夜に駆ける cover";".mp3";"00:01:14";"2026-05-08 10:53:40"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"009 - [AMV] SUPER RISER! 「Do You Remember Love？」";".mp3";"00:04:05";"2026-05-08 10:53:42"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"01 - 【imase】NIGHT DANCER（MV）";".mp3";"00:03:31";"2026-05-08 11:17:43"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"010 - Transit In Summer (Future Funk)";".mp3";"00:02:27";"2026-05-08 10:53:46"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"011 - Anri - Last Summer Whisper";".mp3";"00:05:05";"2026-05-08 10:53:50"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"012 - Ikari Shinji's Theme - slowed down + reverb";".mp3";"00:07:01";"2026-05-08 10:53:55"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"013 - Rei II slowed and reverb";".mp3";"00:03:45";"2026-05-08 10:54:02"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"014 - Daft Punk - Touch (Official Audio) ft. Paul Williams";".mp3";"00:08:28";"2026-05-08 10:54:06"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"015 - Hokuto No Ken - You wa Shock full version";".mp3";"00:02:57";"2026-05-08 10:54:14"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"016 - カネコアヤノ - ロマンス宣言 ⧸ Kaneko Ayano -  Romance sengen";".mp3";"00:02:59";"2026-05-08 10:54:18"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"017 - Lucky Star - Out of Touch (OP version) [Out of Touch Thursday]";".mp3";"00:01:42";"2026-05-08 10:54:21"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"018 - スパークル [original ver.] -Your name. Music Video edition- 予告編 from new album「人間開花」初回盤DVD";".mp3";"00:03:01";"2026-05-08 10:54:24"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"019 - Meiko Nakahara - Fantasy";".mp3";"00:04:22";"2026-05-08 10:54:28"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"02 - 松田聖子 SWEET MEMORIES";".mp3";"00:04:40";"2026-05-08 11:17:48"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"020 - Anri - Windy Summer (Night Tempo Edit)";".mp3";"00:03:20";"2026-05-08 10:54:32"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"021 - Tierra Santa - Los Pinguos (versión del estudio)";".mp3";"00:03:25";"2026-05-08 10:54:37"
